zipcode,providers,geom_wkt
06810,Provider 1308|Provider 1413|Provider 162|Provider 1719|Provider 2365|Provider 2439|Provider 2810|Provider 435|Provider 520|Provider 892|Provider 999,"POLYGON ((-73.41192 41.42953, -73.41531 41.42470, -73.41654 41.42185, -73.41976 41.42058, -73.42085 41.41725, -73.42509 41.41774, -73.43096 41.41648, -73.44045 41.41390, -73.45153 41.41154, -73.45593 41.40941, -73.46174 41.40434, -73.46613 41.40172, -73.47112 41.40042, -73.47609 41.39751, -73.47811 41.39426, -73.47608 41.39080, -73.47573 41.38470, -73.47821 41.38481, -73.48370 41.38348, -73.48687 41.38393, -73.49143 41.38578, -73.50605 41.38938, -73.52068 41.39048, -73.52557 41.39289, -73.53345 41.39217, -73.53836 41.39015, -73.54263 41.38925, -73.54342 41.37675, -73.53823 41.37566, -73.53259 41.37554, -73.52459 41.37706, -73.50644 41.37741, -73.50485 41.37340, -73.50157 41.36200, -73.48540 41.35662, -73.47586 41.33744, -73.47036 41.32695, -73.45142 41.33046, -73.44613 41.33125, -73.42433 41.33529, -73.42540 41.33785, -73.43058 41.35573, -73.43502 41.37240, -73.43265 41.37848, -73.42393 41.38235, -73.41199 41.39172, -73.40710 41.39613, -73.40780 41.39719, -73.40460 41.40212, -73.40118 41.40285, -73.40345 41.40931, -73.40602 41.41544, -73.40596 41.42819, -73.41192 41.42953))"
06608,Provider 1308|Provider 1413|Provider 2365|Provider 2439|Provider 2810|Provider 435|Provider 520|Provider 644,"POLYGON ((-73.17089 41.18665, -73.17163 41.18895, -73.17453 41.18897, -73.17396 41.19410, -73.18135 41.19864, -73.18403 41.20070, -73.18936 41.20270, -73.18605 41.20009, -73.18621 41.19538, -73.18683 41.19436, -73.18931 41.19199, -73.18888 41.18480, -73.18575 41.18243, -73.18567 41.17739, -73.18426 41.17440, -73.18045 41.17130, -73.17660 41.17673, -73.17108 41.18561, -73.17089 41.18665))"
06820,Provider 1308|Provider 1413|Provider 162|Provider 230|Provider 2365|Provider 2439|Provider 2810|Provider 2855|Provider 376|Provider 435|Provider 520|Provider 892,"POLYGON ((-73.47456 41.11470, -73.47903 41.11461, -73.48559 41.11385, -73.49342 41.11447, -73.50076 41.11441, -73.50651 41.10956, -73.50937 41.10970, -73.51151 41.10747, -73.51140 41.10565, -73.50940 41.10460, -73.50983 41.10286, -73.51496 41.09416, -73.51450 41.08849, -73.51698 41.08117, -73.51739 41.07817, -73.51539 41.07434, -73.51183 41.07283, -73.50974 41.06985, -73.51014 41.06719, -73.50910 41.06573, -73.50874 41.06348, -73.50632 41.05888, -73.50248 41.05598, -73.49787 41.04939, -73.49586 41.04865, -73.49530 41.04334, -73.49549 41.03753, -73.49554 41.03575, -73.48958 41.03611, -73.48422 41.03423, -73.48116 41.03257, -73.47666 41.03214, -73.47389 41.03575, -73.47312 41.03871, -73.46929 41.04297, -73.45451 41.04582, -73.45059 41.04854, -73.44906 41.05300, -73.44656 41.05770, -73.44552 41.06539, -73.44405 41.06835, -73.44482 41.07002, -73.44762 41.07191, -73.44594 41.07667, -73.44685 41.08248, -73.44819 41.08604, -73.45077 41.08826, -73.45335 41.08838, -73.45353 41.09142, -73.45580 41.09339, -73.46214 41.10113, -73.46909 41.10829, -73.47456 41.11470))"
06830,Provider 070|Provider 1279|Provider 1308|Provider 1413|Provider 162|Provider 1915|Provider 2297|Provider 230|Provider 2365|Provider 2439|Provider 2810|Provider 2855|Provider 376|Provider 435|Provider 520|Provider 892,"POLYGON ((-73.59916 41.09902, -73.60561 41.09637, -73.61099 41.09301, -73.62387 41.08962, -73.62720 41.09028, -73.63496 41.09652, -73.63922 41.09762, -73.64877 41.09565, -73.64670 41.08509, -73.65128 41.08512, -73.65282 41.08251, -73.64879 41.07528, -73.64363 41.07801, -73.64181 41.07670, -73.64326 41.06488, -73.64069 41.06308, -73.64211 41.05981, -73.64050 41.05885, -73.64061 41.05449, -73.64166 41.05234, -73.64001 41.04973, -73.63753 41.04890, -73.63586 41.04532, -73.63946 41.04085, -73.63722 41.03870, -73.63841 41.03500, -73.63365 41.03559, -73.63349 41.03341, -73.62942 41.02810, -73.63970 41.02211, -73.64371 41.02029, -73.64460 41.01906, -73.65565 41.01268, -73.65606 41.00892, -73.66027 41.00048, -73.65931 40.99717, -73.65964 40.99423, -73.65723 40.99091, -73.65967 40.98791, -73.65762 40.98550, -73.65642 40.98424, -73.64983 40.97920, -73.64558 40.98806, -73.64140 40.98593, -73.63710 40.98290, -73.63557 40.97878, -73.63050 40.97676, -73.62639 40.97669, -73.62103 40.97763, -73.61864 40.97958, -73.61673 40.98268, -73.61376 40.98441, -73.60544 40.98788, -73.60421 40.99032, -73.61428 40.99385, -73.61444 41.00096, -73.61271 41.00268, -73.60515 41.00651, -73.59735 41.00687, -73.59734 41.01204, -73.59640 41.01737, -73.59455 41.02310, -73.59463 41.03081, -73.60074 41.02961, -73.60191 41.02983, -73.60371 41.03350, -73.60326 41.03664, -73.60509 41.03688, -73.60403 41.03961, -73.60344 41.04483, -73.60389 41.04766, -73.59897 41.04668, -73.59794 41.04827, -73.59781 41.05281, -73.59898 41.05586, -73.59633 41.06249, -73.59532 41.06376, -73.59944 41.06883, -73.60259 41.07378, -73.60118 41.07776, -73.59991 41.07850, -73.59820 41.08465, -73.60032 41.08572, -73.59725 41.08865, -73.59245 41.09061, -73.59916 41.09902))"
06902,Provider 070|Provider 1308|Provider 1413|Provider 1476|Provider 162|Provider 230|Provider 2365|Provider 2439|Provider 2810|Provider 376|Provider 435|Provider 520|Provider 892,"POLYGON ((-73.54197 41.05886, -73.54305 41.06240, -73.54656 41.06491, -73.54934 41.06401, -73.54818 41.06122, -73.55175 41.06056, -73.55181 41.05613, -73.55442 41.05631, -73.55992 41.05889, -73.55848 41.06318, -73.55862 41.06530, -73.55698 41.06840, -73.55671 41.07268, -73.55572 41.07619, -73.55253 41.07626, -73.55358 41.07871, -73.55452 41.08466, -73.55377 41.08873, -73.55606 41.09045, -73.55988 41.09074, -73.55882 41.09460, -73.56143 41.09426, -73.56357 41.09707, -73.56074 41.09910, -73.55908 41.10278, -73.55861 41.10561, -73.56056 41.10369, -73.56600 41.10305, -73.57007 41.10140, -73.58203 41.10054, -73.58876 41.10060, -73.58868 41.09710, -73.59245 41.09061, -73.58757 41.08460, -73.57649 41.07018, -73.56834 41.05967, -73.56676 41.05147, -73.56615 41.05151, -73.56315 41.04023, -73.55569 41.02843, -73.55515 41.02515, -73.55093 41.02219, -73.54764 41.02220, -73.54207 41.01960, -73.51707 41.01213, -73.51714 41.02477, -73.51504 41.02795, -73.51505 41.03057, -73.50423 41.03392, -73.49549 41.03753, -73.49530 41.04334, -73.49586 41.04865, -73.49787 41.04939, -73.50248 41.05598, -73.50632 41.05888, -73.50874 41.06348, -73.50910 41.06573, -73.50992 41.06425, -73.52060 41.06351, -73.52375 41.06283, -73.52478 41.06168, -73.52816 41.06195, -73.52784 41.06426, -73.53306 41.06478, -73.53299 41.06795, -73.53088 41.07025, -73.53427 41.07014, -73.53356 41.07523, -73.53685 41.07688, -73.53924 41.07132, -73.53397 41.06792, -73.53805 41.06718, -73.53722 41.06526, -73.53707 41.06115, -73.53361 41.06039, -73.53413 41.05795, -73.53116 41.05716, -73.52932 41.05366, -73.53411 41.05043, -73.54502 41.04671, -73.54577 41.04910, -73.54557 41.05370, -73.54085 41.05321, -73.54053 41.05542, -73.54197 41.05886))"
06468,Provider 1308|Provider 1413|Provider 2365|Provider 2439|Provider 2810|Provider 2855|Provider 435|Provider 520|Provider 644|Provider 892|Provider 999,"POLYGON ((-73.30586 41.33230, -73.29775 41.32870, -73.27303 41.31864, -73.27309 41.31622, -73.27072 41.30997, -73.27072 41.30700, -73.27202 41.30392, -73.27617 41.30160, -73.27817 41.29840, -73.27437 41.29381, -73.25783 41.29540, -73.24215 41.29592, -73.22737 41.29760, -73.20480 41.29936, -73.19501 41.31282, -73.19212 41.31636, -73.18472 41.32650, -73.18062 41.33297, -73.17681 41.33759, -73.17058 41.35790, -73.15944 41.37291, -73.15965 41.37490, -73.15705 41.37670, -73.15883 41.37968, -73.15798 41.38296, -73.16125 41.38385, -73.16657 41.38336, -73.17415 41.38417, -73.18117 41.38961, -73.18327 41.39171, -73.18712 41.38912, -73.19006 41.38829, -73.19444 41.38867, -73.19588 41.38752, -73.19778 41.38215, -73.19903 41.38222, -73.20362 41.37891, -73.20232 41.37799, -73.20117 41.37413, -73.20199 41.37224, -73.21039 41.36788, -73.21323 41.36787, -73.21903 41.36445, -73.22270 41.36406, -73.22526 41.36529, -73.22796 41.36517, -73.22927 41.36639, -73.22808 41.36861, -73.22952 41.37105, -73.23777 41.36663, -73.25618 41.35732, -73.26137 41.35511, -73.26817 41.35130, -73.27746 41.34655, -73.29976 41.33546, -73.30586 41.33230))"
06114,Provider 1011|Provider 1308|Provider 1413|Provider 1465|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520|Provider 892|Provider 999,"POLYGON ((-72.65389 41.75299, -72.65697 41.75111, -72.65907 41.75207, -72.66148 41.75075, -72.66511 41.75439, -72.67313 41.75458, -72.67362 41.75640, -72.67638 41.75537, -72.67852 41.75132, -72.68023 41.75238, -72.68310 41.75119, -72.68331 41.74735, -72.69624 41.74006, -72.69703 41.73692, -72.69624 41.73077, -72.69454 41.72588, -72.69595 41.72505, -72.69103 41.72540, -72.67116 41.72799, -72.66483 41.72859, -72.65560 41.72991, -72.64784 41.72790, -72.64264 41.73520, -72.64254 41.73990, -72.64464 41.74570, -72.64904 41.75020, -72.65389 41.75299))"
06105,Provider 1011|Provider 1308|Provider 1413|Provider 1465|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520|Provider 892|Provider 999,"POLYGON ((-72.72034 41.77606, -72.72075 41.77035, -72.71792 41.77065, -72.71805 41.76550, -72.71615 41.76562, -72.71478 41.75643, -72.71373 41.75796, -72.71409 41.76093, -72.70456 41.76178, -72.70064 41.76167, -72.69698 41.76250, -72.69702 41.76396, -72.69383 41.76514, -72.69377 41.76781, -72.68808 41.76808, -72.68796 41.76618, -72.68359 41.76619, -72.68183 41.76786, -72.68177 41.77067, -72.68293 41.77224, -72.68665 41.77475, -72.69589 41.77720, -72.70087 41.77960, -72.70341 41.78192, -72.70410 41.78452, -72.70696 41.78489, -72.70716 41.78666, -72.70920 41.78955, -72.70907 41.79302, -72.70971 41.79780, -72.71104 41.79955, -72.71300 41.79897, -72.71379 41.79698, -72.71754 41.79302, -72.71708 41.78822, -72.71520 41.78716, -72.71390 41.77741, -72.71446 41.77587, -72.71728 41.77523, -72.72034 41.77606))"
06051,Provider 1011|Provider 1308|Provider 1413|Provider 1465|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520|Provider 644|Provider 892,"POLYGON ((-72.78549 41.66947, -72.78746 41.66889, -72.78707 41.66658, -72.78976 41.66325, -72.78788 41.66201, -72.78283 41.66218, -72.78356 41.65835, -72.78884 41.65684, -72.78790 41.65089, -72.78978 41.64939, -72.78962 41.64755, -72.77857 41.64824, -72.77187 41.64832, -72.75815 41.64972, -72.75036 41.65017, -72.75055 41.65395, -72.75347 41.66692, -72.75598 41.68112, -72.75755 41.68874, -72.76228 41.68412, -72.76931 41.68338, -72.77303 41.68158, -72.77570 41.68271, -72.78097 41.68215, -72.78056 41.67977, -72.78504 41.67776, -72.78744 41.67840, -72.78679 41.67094, -72.78549 41.66947))"
06070,Provider 1308|Provider 1413|Provider 2365|Provider 2810|Provider 435|Provider 442|Provider 520|Provider 892|Provider 999,"POLYGON ((-72.86178 41.92046, -72.85852 41.91905, -72.86178 41.91662, -72.86606 41.91709, -72.85971 41.90657, -72.85470 41.89950, -72.85329 41.89902, -72.84688 41.89464, -72.84746 41.88960, -72.84651 41.88574, -72.84216 41.88428, -72.83686 41.88323, -72.83151 41.88267, -72.82796 41.87681, -72.82583 41.87564, -72.81918 41.87465, -72.82044 41.87351, -72.82459 41.87242, -72.82659 41.86918, -72.83002 41.86926, -72.83446 41.86856, -72.83579 41.86930, -72.83853 41.86777, -72.83752 41.86452, -72.83579 41.86424, -72.85742 41.85614, -72.84109 41.84582, -72.85465 41.84740, -72.85733 41.84569, -72.85449 41.84407, -72.85461 41.84177, -72.85294 41.84036, -72.85663 41.83819, -72.85872 41.83617, -72.86070 41.83110, -72.86324 41.82897, -72.86614 41.82936, -72.86445 41.82518, -72.86602 41.82221, -72.86741 41.81640, -72.84882 41.81874, -72.84003 41.82022, -72.84082 41.82332, -72.83868 41.83216, -72.83031 41.84186, -72.83292 41.84259, -72.83224 41.84475, -72.82344 41.84476, -72.82352 41.84715, -72.82568 41.84894, -72.82815 41.84951, -72.82731 41.85414, -72.82306 41.85685, -72.82095 41.85733, -72.81900 41.85432, -72.81279 41.85416, -72.81172 41.85573, -72.80934 41.85469, -72.81016 41.85097, -72.80727 41.84716, -72.80644 41.84459, -72.80895 41.84034, -72.80934 41.83830, -72.80843 41.83381, -72.80926 41.82853, -72.81075 41.82702, -72.80650 41.82485, -72.79855 41.82489, -72.78334 41.82691, -72.78444 41.83331, -72.78349 41.83656, -72.78427 41.83778, -72.78516 41.84341, -72.78444 41.85570, -72.78085 41.86209, -72.77454 41.87420, -72.77040 41.88079, -72.77139 41.88512, -72.76695 41.89589, -72.76664 41.89760, -72.77449 41.89878, -72.78076 41.89502, -72.77895 41.89931, -72.77607 41.89843, -72.77459 41.89937, -72.77617 41.90442, -72.77545 41.90702, -72.77239 41.91165, -72.77222 41.91436, -72.76941 41.91783, -72.78264 41.91800, -72.79317 41.91828, -72.82512 41.91888, -72.85495 41.92030, -72.86178 41.92046))"
